Stock/CU,DUID,Brood Year,Juveniles
Quesnel,16,1948,NA
Quesnel,16,1949,NA
Quesnel,16,1950,NA
Quesnel,16,1951,NA
Quesnel,16,1952,NA
Quesnel,16,1953,NA
Quesnel,16,1954,NA
Quesnel,16,1955,NA
Quesnel,16,1956,NA
Quesnel,16,1957,NA
Quesnel,16,1958,NA
Quesnel,16,1959,NA
Quesnel,16,1960,NA
Quesnel,16,1961,NA
Quesnel,16,1962,NA
Quesnel,16,1963,NA
Quesnel,16,1964,NA
Quesnel,16,1965,NA
Quesnel,16,1966,NA
Quesnel,16,1967,NA
Quesnel,16,1968,NA
Quesnel,16,1969,NA
Quesnel,16,1970,NA
Quesnel,16,1971,NA
Quesnel,16,1972,NA
Quesnel,16,1973,NA
Quesnel,16,1974,NA
Quesnel,16,1975,NA
Quesnel,16,1976,0.1144
Quesnel,16,1977,49.6
Quesnel,16,1978,NA
Quesnel,16,1979,NA
Quesnel,16,1980,NA
Quesnel,16,1981,67.58437134
Quesnel,16,1982,NA
Quesnel,16,1983,NA
Quesnel,16,1984,NA
Quesnel,16,1985,46.51545387
Quesnel,16,1986,14.68396132
Quesnel,16,1987,11.00922524
Quesnel,16,1988,NA
Quesnel,16,1989,58.01335528
Quesnel,16,1990,5.244447045
Quesnel,16,1991,12.29105445
Quesnel,16,1992,NA
Quesnel,16,1993,62.55041577
Quesnel,16,1994,16.75337446
Quesnel,16,1995,NA
Quesnel,16,1996,NA
Quesnel,16,1997,53.90736355
Quesnel,16,1998,36.11553759
Quesnel,16,1999,13.789241
Quesnel,16,2000,5.159686
Quesnel,16,2001,65.39519864
Quesnel,16,2002,48.39503225
Quesnel,16,2003,10.372264
Quesnel,16,2004,1.86
Quesnel,16,2005,51.80610829
Quesnel,16,2006,15.164301
Quesnel,16,2007,NA
Quesnel,16,2008,NA
Quesnel,16,2009,14.182463
Quesnel,16,2010,24.970095
Quesnel,16,2011,6.427365
Quesnel,16,2012,NA
Quesnel,16,2013,NA
Chilko,3,1948,NA
Chilko,3,1949,3.14683
Chilko,3,1950,1.170491
Chilko,3,1951,11.504581
Chilko,3,1952,22.973478
Chilko,3,1953,7.690383
Chilko,3,1954,3.007274
Chilko,3,1955,9.15912
Chilko,3,1956,28.242157
Chilko,3,1957,9.458468
Chilko,3,1958,6.902846
Chilko,3,1959,32.629026
Chilko,3,1960,33.817514
Chilko,3,1961,1.593017
Chilko,3,1962,8.808628
Chilko,3,1963,9.263733
Chilko,3,1964,23.643449
Chilko,3,1965,2.343404
Chilko,3,1966,16.816182
Chilko,3,1967,8.812334
Chilko,3,1968,31.772048
Chilko,3,1969,3.570614
Chilko,3,1970,3.848709
Chilko,3,1971,7.608969
Chilko,3,1972,20.273314
Chilko,3,1973,4.300031
Chilko,3,1974,7.245661
Chilko,3,1975,14.145005
Chilko,3,1976,26.010772
Chilko,3,1977,2.268157
Chilko,3,1978,16.490014
Chilko,3,1979,21.152257
Chilko,3,1980,35.037719
Chilko,3,1981,1.704324
Chilko,3,1982,13.967231
Chilko,3,1983,19.714627
Chilko,3,1984,9.843219
Chilko,3,1985,5.591056
Chilko,3,1986,18.884731
Chilko,3,1987,21.695021
Chilko,3,1988,20.900735
Chilko,3,1989,NA
Chilko,3,1990,34.168374
Chilko,3,1991,39.72181
Chilko,3,1992,12.866432
Chilko,3,1993,27.257811
Chilko,3,1994,16.976927
Chilko,3,1995,39.82647267
Chilko,3,1996,18.700496
Chilko,3,1997,21.837625
Chilko,3,1998,11.078244
Chilko,3,1999,19.985332
Chilko,3,2000,19.475377
Chilko,3,2001,35.710945
Chilko,3,2002,19.625177
Chilko,3,2003,23.30411763
Chilko,3,2004,10.76132
Chilko,3,2005,77.12847509
Chilko,3,2006,71.90920769
Chilko,3,2007,25.2222
Chilko,3,2008,11.772769
Chilko,3,2009,34.386188
Chilko,3,2010,55.26584091
Chilko,3,2011,44.2279
Chilko,3,2012,NA
Chilko,3,2013,NA
Late Shuswap,18,1948,NA
Late Shuswap,18,1949,NA
Late Shuswap,18,1950,NA
Late Shuswap,18,1951,NA
Late Shuswap,18,1952,NA
Late Shuswap,18,1953,NA
Late Shuswap,18,1954,NA
Late Shuswap,18,1955,NA
Late Shuswap,18,1956,NA
Late Shuswap,18,1957,NA
Late Shuswap,18,1958,NA
Late Shuswap,18,1959,NA
Late Shuswap,18,1960,NA
Late Shuswap,18,1961,NA
Late Shuswap,18,1962,NA
Late Shuswap,18,1963,NA
Late Shuswap,18,1964,NA
Late Shuswap,18,1965,NA
Late Shuswap,18,1966,NA
Late Shuswap,18,1967,NA
Late Shuswap,18,1968,NA
Late Shuswap,18,1969,NA
Late Shuswap,18,1970,NA
Late Shuswap,18,1971,NA
Late Shuswap,18,1972,NA
Late Shuswap,18,1973,NA
Late Shuswap,18,1974,90.475861
Late Shuswap,18,1975,21.208499
Late Shuswap,18,1976,12.460947
Late Shuswap,18,1977,3.901516
Late Shuswap,18,1978,172.618632
Late Shuswap,18,1979,51.295653
Late Shuswap,18,1980,NA
Late Shuswap,18,1981,NA
Late Shuswap,18,1982,137.424814
Late Shuswap,18,1983,34.362244
Late Shuswap,18,1984,NA
Late Shuswap,18,1985,NA
Late Shuswap,18,1986,141.256617
Late Shuswap,18,1987,153.543643
Late Shuswap,18,1988,15.103054
Late Shuswap,18,1989,14.765826
Late Shuswap,18,1990,99.46963604
Late Shuswap,18,1991,56.186507
Late Shuswap,18,1992,10.687339
Late Shuswap,18,1993,NA
Late Shuswap,18,1994,75.71313646
Late Shuswap,18,1995,16.49657183
Late Shuswap,18,1996,NA
Late Shuswap,18,1997,NA
Late Shuswap,18,1998,40.253416
Late Shuswap,18,1999,NA
Late Shuswap,18,2000,NA
Late Shuswap,18,2001,NA
Late Shuswap,18,2002,132.234134
Late Shuswap,18,2003,18.45659393
Late Shuswap,18,2004,NA
Late Shuswap,18,2005,NA
Late Shuswap,18,2006,104.566067
Late Shuswap,18,2007,NA
Late Shuswap,18,2008,NA
Late Shuswap,18,2009,NA
Late Shuswap,18,2010,186.846785
Late Shuswap,18,2011,11.176047
Late Shuswap,18,2012,NA
Late Shuswap,18,2013,NA
Cultus,6,1948,NA
Cultus,6,1949,NA
Cultus,6,1950,NA
Cultus,6,1951,0.388873
Cultus,6,1952,0.620213
Cultus,6,1953,NA
Cultus,6,1954,1.903296
Cultus,6,1955,2.688063
Cultus,6,1956,0.97612
Cultus,6,1957,0.319495
Cultus,6,1958,1.427228
Cultus,6,1959,1.327842
Cultus,6,1960,1.025404
Cultus,6,1961,1.200498
Cultus,6,1962,NA
Cultus,6,1963,NA
Cultus,6,1964,NA
Cultus,6,1965,0.131106
Cultus,6,1966,2.101506
Cultus,6,1967,2.441694
Cultus,6,1968,1.005291
Cultus,6,1969,0.186787
Cultus,6,1970,0.799934
Cultus,6,1971,1.086016
Cultus,6,1972,0.167111
Cultus,6,1973,NA
Cultus,6,1974,0.9863
Cultus,6,1975,1.219211
Cultus,6,1976,0.167982
Cultus,6,1977,NA
Cultus,6,1978,NA
Cultus,6,1979,NA
Cultus,6,1980,NA
Cultus,6,1981,NA
Cultus,6,1982,NA
Cultus,6,1983,NA
Cultus,6,1984,NA
Cultus,6,1985,NA
Cultus,6,1986,NA
Cultus,6,1987,NA
Cultus,6,1988,0.065184
Cultus,6,1989,0.052865
Cultus,6,1990,0.178357
Cultus,6,1991,NA
Cultus,6,1992,NA
Cultus,6,1993,NA
Cultus,6,1994,NA
Cultus,6,1995,NA
Cultus,6,1996,NA
Cultus,6,1997,NA
Cultus,6,1998,NA
Cultus,6,1999,0.062564
Cultus,6,2000,0.009545
Cultus,6,2001,0.013701
Cultus,6,2002,0.117005
Cultus,6,2003,0.098609
Cultus,6,2004,0.107874
Cultus,6,2005,0.097928
Cultus,6,2006,0.389158
Cultus,6,2007,0.340148
Cultus,6,2008,0.145282
Cultus,6,2009,0.174103
Cultus,6,2010,0.318447
Cultus,6,2011,0.119786
Cultus,6,2012,NA
Cultus,6,2013,NA
Weaver,10,1966,14.493
Weaver,10,1967,7.002
Weaver,10,1968,3.584
Weaver,10,1969,37.132
Weaver,10,1970,9.843
Weaver,10,1971,5.233
Weaver,10,1972,19.4
Weaver,10,1973,38.817
Weaver,10,1974,43.627
Weaver,10,1975,25.961
Weaver,10,1976,57.578
Weaver,10,1977,19.859
Weaver,10,1978,43.047
Weaver,10,1979,27.036
Weaver,10,1980,53.003
Weaver,10,1981,27.213
Weaver,10,1982,58.644
Weaver,10,1983,31.375
Weaver,10,1984,45.937
Weaver,10,1985,20.269
Weaver,10,1986,21.771
Weaver,10,1987,29.529
Weaver,10,1988,22.201
Weaver,10,1989,22.49377
Weaver,10,1990,18.90875
Weaver,10,1991,43.78688
Weaver,10,1992,49.32855
Weaver,10,1993,43.66571
Weaver,10,1994,45.83193
Weaver,10,1995,22.74283
Weaver,10,1996,47.90978
Weaver,10,1997,14.00299
Weaver,10,1998,51.4682
Weaver,10,1999,31.54851
Weaver,10,2000,6.73642
Weaver,10,2001,21.28094
Weaver,10,2002,50.75479
Weaver,10,2003,46.79919
Weaver,10,2004,28.47051
Weaver,10,2005,35.56491
Weaver,10,2006,46.38875
Weaver,10,2007,29.48047
Weaver,10,2008,1.40912
Weaver,10,2009,34.73116
Weaver,10,2010,44.48399
Weaver,10,2011,38.94608
Weaver,10,2012,3.67462
Weaver,10,2013,NA
Nadina,8,1973,NA
Nadina,8,1974,2.054
Nadina,8,1975,13.856
Nadina,8,1976,1.962
Nadina,8,1977,14.502
Nadina,8,1978,2.923
Nadina,8,1979,22.065
Nadina,8,1980,1.991
Nadina,8,1981,17.002
Nadina,8,1982,1.415
Nadina,8,1983,19.328
Nadina,8,1984,4.412
Nadina,8,1985,6.700363389
Nadina,8,1986,3.930767535
Nadina,8,1987,19.87102469
Nadina,8,1988,8.596633607
Nadina,8,1989,1.974444666
Nadina,8,1990,2.345642074
Nadina,8,1991,18.31594618
Nadina,8,1992,4.28048813
Nadina,8,1993,2.206122027
Nadina,8,1994,1.993406834
Nadina,8,1995,1.832089228
Nadina,8,1996,20.2945942
Nadina,8,1997,1.536550712
Nadina,8,1998,3.300569641
Nadina,8,1999,4.131116377
Nadina,8,2000,51.61791494
Nadina,8,2001,17.78777998
Nadina,8,2002,1.873758989
Nadina,8,2003,2.242409276
Nadina,8,2004,16.411476
Nadina,8,2005,10.93378166
Nadina,8,2006,7.299827287
Nadina,8,2007,1.350721548
Nadina,8,2008,12.22307431
Nadina,8,2009,5.461032234
Nadina,8,2010,19.25968025
Nadina,8,2011,1.310692918
Nadina,8,2012,16.57132606
Nadina,8,2013,NA
